optimizer,dataset,seed,min_sse,params
cmaes,basin_hopping_1,7,36038.09463458,"[0.006268619993409785, 0.4726043313286102, 0.4167113008834389, 0.0065222923480964, 0.00158588368028489, 0.00017625812100080632, 0.0002286672541720977, 0.009997654382315223, 0.00011307985856458479, 0.002025297705916435, 5.50559016336604e-05, 217328.27212273664, 5.689278793437237e-08, 565135.4484162279, 684652.8965851925, 536811.5244684988, 9.959231345221528e-06, 5.848163205445407e-07, 3.8403021168327345, 0.008191104801778926, 446696.1538283653]"
basin_hopping,basin_hopping_3,8,107430.75967878,"[0.03235672496455741, 0.0020435188931697216, 0.4182866375700391, 0.032284327816102056, 0.03228447182304067, 0.0001004737781716631, 0.009975302669649013, 0.009977918452319946, 0.009975227542135283, 0.0021740581121361484, 0.009621880886135007, 901961.008364637, 1e-08, 741995.918375384, 76165.85264567696, 803652.0844108745, 1e-05, 7.5441712709873896e-06, 1.1548137708201693, 0.00989902835264403, 332461.9423738217]"
cmaes,cmaes_3,6,99770.95547899,"[0.023970963170262975, 0.08629605344770773, 0.059053001083174655, 0.11354665419058849, 0.2165374852347266, 0.0038284286271509436, 0.009607830535396383, 0.009638773812601326, 0.008739926062144012, 0.009972501978597403, 0.00978091985346492, 381871.91066950327, 8.99703352979535e-07, 261017.3430393691, 262.9176917576187, 100.34304332854926, 9.999920174128548e-06, 1.3292011637848117e-08, 0.5001753836821663, 0.0075566355298664544, 16114.207699718178]"
basin_hopping,lshade_3,2,56214.05915845,"[0.49998618503736264, 0.004014427431203944, 0.004016307129435811, 0.01327356152409855, 0.013275073588519403, 0.00998344877427416, 0.00999998802051569, 0.0005377179322204836, 0.0007084151564358952, 0.002939947450553463, 0.00293495696635839, 638727.5001779558, 8.679368299938295e-06, 328326.80123831175, 470388.3157923234, 416628.4368760859, 1e-05, 1e-08, 1.5838490410541846, 0.009999901306879725, 863246.7758837678]"
lshade,cmaes_2,2,130072.74252841,"[0.02818053006250309, 0.0005, 0.0921480802754868, 0.42758098398983424, 0.0005, 0.0013914877480649336, 0.008599914764201903, 0.007494294745245205, 0.003666027791980258, 0.01, 0.006927621880648234, 338656.61595745326, 4.080343863901285e-06, 270442.2468617392, 829268.3048900677, 100.0, 1.7961066659983916e-06, 3.6158889085779394e-06, 2.3888484275661837, 0.008171359715488548, 579852.0578220731]"
cmaes,basin_hopping_2,7,48947.35173137,"[0.0028489149354022974, 0.4619971996634521, 0.3414211638312289, 0.30410804790155405, 0.09390388973143562, 0.00032664940785749244, 0.005400060272638803, 0.00983833548447002, 0.0039023606106146596, 0.00010000009931377448, 0.0020810876317214756, 358295.5971776335, 1.349639310880536e-07, 975650.7078036339, 945011.011653636, 15725.971420199143, 9.98440944238751e-06, 1.2488723522255347e-06, 0.5449009275686889, 0.009716469006192477, 654150.0689246804]"
dual_annealing,pso_2,2,35591.97005103,"[0.4567185249506942, 0.2791970779566092, 0.22948458065320054, 0.036635597140510415, 0.15572998642028588, 0.0013246708534587577, 0.001884487543263928, 0.007419732507633611, 0.007880759212543038, 0.009373137658719338, 5e-05, 627560.8154521192, 8.893942322957643e-06, 629399.330920111, 876077.4756998899, 919487.9117009204, 1e-05, 1e-05, 1.6005295047979873, 0.0076894312076049125, 952685.2357404311]"
cmaes,cmaes_1,8,95117.61582748,"[0.1217398407760965, 0.009175858289573478, 0.0015213945662907672, 0.031093172001307966, 0.126053708663941, 0.009987466405865392, 0.003965094130027475, 0.009999453309729392, 0.0022561693159429052, 0.009199680279394334, 0.003069305105400065, 254273.09163302105, 9.962617995632977e-06, 107639.52881510509, 199889.743620909, 20080.20043625892, 9.999848338280783e-06, 1.0984652593383475e-08, 0.7742021122304251, 0.009998846145691378, 989968.5284105192]"
cmaes,dual_annealing_3,2,128282.49244495,"[0.011506739690120931, 0.23865567149214661, 0.16882860469945649, 0.14723181289363318, 0.06303479199044992, 0.00930805364333358, 0.000386275923569194, 0.0004891603846522699, 0.0007242369912473006, 0.0012511275289912689, 5.000009667522885e-05, 985471.5740129581, 5.573880154399518e-06, 399273.41801585053, 192491.85945127753, 400810.50924670184, 9.962883338512852e-06, 9.040388471396752e-06, 0.5036511152620559, 0.008857506122913411, 982254.7354660296]"
dual_annealing,basin_hopping_1,3,36016.13349045,"[0.001466394549148062, 0.4744293695501451, 0.1844743833189214, 0.16604666320838535, 0.3876910026755551, 0.0001, 0.00012032854057259334, 0.0064762681011777045, 0.00015029822191034176, 0.009830257277170133, 6.173320703159286e-05, 639583.0953599267, 4.88340044439756e-07, 611463.9732811938, 243532.15773970415, 28659.903926064417, 9.55477795534213e-06, 2.3956186983391976e-06, 0.5284125908476549, 0.006079118239247976, 983030.2571888271]"
lshade,cmaes_3,2,153162.6530456,"[0.05671277152644508, 0.0005, 0.07867891737981592, 0.0005, 0.39453638987888623, 0.003588564283395806, 0.0017199658230706409, 0.01, 0.009069044588693238, 0.0038040463575035686, 0.0046966105702793, 412496.19242579094, 9.270416096404237e-06, 570207.9161004961, 161167.00361100765, 1000000.0, 9.120135667420563e-06, 8.32361256694032e-06, 1.8285941790881686, 0.006944821577534109, 977627.9073400528]"
lshade,dual_annealing_2,3,67845.97531419,"[0.15959589423879184, 0.02393242008244914, 0.21501190354212102, 0.0005000000000000004, 0.0005000000000000004, 0.004789440719016258, 0.00848314864359998, 0.00478118352179272, 0.005401424900020866, 0.002990534327172995, 5e-05, 276142.5955403184, 7.79083441926861e-07, 359501.4232087919, 770332.6246132507, 564603.4089300638, 3.618909729447928e-06, 4.052671134941014e-06, 4.523537088268833, 0.0072332202984231155, 451883.1811937306]"
cmaes,dual_annealing_1,3,43880.04499739,"[0.01853429341307581, 0.203127118072497, 0.20952343883498428, 0.006720796064402434, 0.49604943292588494, 0.0001933965613560686, 0.009551817631571114, 0.009575989412710486, 0.009989640565435115, 0.009928966702737754, 5.0006097441078354e-05, 790582.2498731861, 9.568533846771158e-06, 146816.45151872598, 543791.1456036035, 6717.914056452178, 9.975270881036088e-06, 9.15741130708888e-06, 0.837726559051262, 0.009355869482495815, 501361.92916601617]"
pso,basin_hopping_3,7,3252540.42400709,"[0.23551484540150927, 0.1377721891469353, 0.2370392982846448, 0.10457781109412223, 0.15902029003508072, 0.006107060859411976, 0.004541507037053172, 0.00045382724737854545, 0.008604967813339566, 0.00010213814362893849, 0.005560329422132608, 343311.92858272954, 8.292559091585963e-06, 308323.75175155647, 414474.5593267069, 83406.16553419014, 6.392824222119672e-06, 3.85276948151739e-06, 1.0180410590310993, 0.0007233306787107561, 448805.1159803171]"
dual_annealing,pso_2,5,35450.95949604,"[0.1396074399317923, 0.1515807891160663, 0.12219263145672785, 0.18896659290344306, 0.03719403230211314, 0.006160217019063426, 0.0013572737536754712, 0.004641547252701851, 0.00010001297348404484, 0.01, 5.001403322214904e-05, 548511.1969899279, 1.8757989998729951e-06, 79481.10242587863, 583417.4862977425, 676280.7662662896, 9.95732637666764e-06, 9.051579031444124e-06, 1.0719731104942007, 0.0016615047194121517, 720791.5579480783]"
lshade,dual_annealing_1,8,116619.57460552,"[0.20519278720621828, 0.05183943154561467, 0.0005, 0.23094439506685163, 0.0005, 0.0028893989416743874, 0.0054818179959018505, 0.0013298329047795759, 0.0009769772210412168, 0.006840252834927731, 0.0065562253090805395, 135965.22723370822, 6.832104066186369e-06, 920933.1606701105, 444670.50728017476, 797514.5689048825, 7.4390142290540035e-06, 1.5006628917822227e-06, 2.433671990914806, 0.008803844761996398, 575138.3384086983]"
cmaes,lshade_3,9,51044.74879246,"[0.06931110391738571, 0.015309511564278547, 0.40675776252842377, 0.08588353775503423, 0.06672542356948755, 0.00016448594432924286, 0.00016261401647704472, 0.009653784908377804, 0.0001796991037271612, 0.009786388044893709, 5.00651845911692e-05, 171594.8672843068, 2.994636341760848e-06, 408319.5303003, 421386.09702675825, 8405.989594192379, 9.999965173352963e-06, 9.668783515842955e-06, 0.6984912883619898, 0.009995176334318602, 482718.6250934324]"
cmaes,pso_1,3,49706.19371681,"[0.4263425243466427, 0.43396498605956646, 0.23730528065425346, 0.22357150298128348, 0.4475682262531855, 0.008997144102834583, 0.0005391651930353528, 0.00016180219313720903, 0.005292446593579614, 0.00999977514396275, 5.0000007707024095e-05, 206315.9492253003, 4.300530452374382e-07, 373158.1615053719, 759899.9889195842, 141952.66322527232, 6.452746445893146e-06, 1.393222393570299e-06, 1.0572523341614606, 0.004390761365908047, 824172.4796687202]"
cmaes,cmaes_3,2,46147.63257019,"[0.006571799696835924, 0.4924922260759263, 0.4816587241808008, 0.06074622540749133, 0.3645641880836724, 0.00014837213774948952, 0.0002347080367453339, 0.008283035399708462, 0.0007715794263222268, 0.0010609176216341241, 0.0001331520741536865, 417472.40430060937, 1.5846798482526876e-07, 724641.6362079218, 650997.3680667867, 2488.0245464138866, 9.998338722232906e-06, 4.629703545586909e-07, 0.7409108868763026, 0.00897375105365606, 496535.6297125455]"
basin_hopping,dual_annealing_3,7,137153.52524555,"[0.49999770120691267, 0.4999782480548171, 0.4582637596538267, 0.499893686060119, 0.002775604187563993, 0.009986533139625072, 0.0001166599129280181, 0.0008912115189278805, 0.009602026237305376, 0.0008972244716397917, 5e-05, 814491.9103142924, 8.968106228114783e-06, 703458.901267591, 330205.19444763736, 631219.2158658771, 1e-05, 8.36732750041009e-06, 1.504158888644978, 0.009882894039427574, 856545.3096956974]"
cmaes,dual_annealing_3,3,34961.81606078,"[0.0024959135992202804, 0.1392321753683191, 0.42461576001323453, 0.48971782952513637, 0.4773385960844368, 0.008855151351653713, 0.0008062826303556719, 0.0002490701024110318, 0.0006596451901018497, 0.00012781955311610282, 0.007263643198339752, 46948.3983329551, 5.701101048855383e-07, 8949.771236216087, 119.48270892449908, 325.60367329445575, 9.976230039804963e-06, 5.889300938543118e-06, 0.9385541735093483, 0.009361931546549395, 959338.3765384733]"
basin_hopping,basin_hopping_3,9,81724.65580919,"[0.007883152863479, 0.002043648551524865, 0.17300081234156717, 0.005619420399862699, 0.0056187334475588414, 0.0001, 0.00999344556019713, 0.00011987300048231042, 0.00043440025022236853, 0.002703454339232551, 0.009994029261073435, 956682.7806970446, 1e-08, 446136.6301561481, 11287.810820005974, 476911.3547910118, 7.003045780949146e-06, 4.300370766727854e-06, 2.8146744139880258, 0.009895305135768015, 813249.2619015147]"
lshade,basin_hopping_1,1,54373.51010102,"[0.03436954904252018, 0.0005, 0.1712446648563065, 0.027130227893193276, 0.011506189266738402, 0.0029032262826581, 0.002437857356703459, 0.003862554857113144, 0.007732095213393375, 0.007086752120518404, 0.006613520204345859, 330986.6294634958, 6.301337381433098e-06, 564796.2739857342, 933711.9497261901, 430914.224358108, 5.446089508952544e-06, 5.748901126454224e-06, 2.038112381034165, 0.01, 854986.2133248048]"
pso,basin_hopping_1,9,1462306.29311788,"[0.07802097708406924, 0.19055133012013564, 0.47737309053325955, 0.03398550022821201, 0.126725779145398, 0.004772031797159693, 0.0027621648980782486, 0.00792129593519799, 0.005535610970988638, 0.004377394052986886, 6.997263662017488e-05, 644677.7618474576, 1.8437880134155328e-06, 614227.8387253012, 626113.3874420717, 31811.857357329107, 2.45000120837104e-06, 1.7196969370628018e-07, 1.6957950895138105, 0.003109433339455539, 596020.3718214586]"
cmaes,pso_1,9,103068.98464164,"[0.4420926436569804, 0.22826931366507036, 0.025408933358611305, 0.18831774237939092, 0.007846885189247565, 0.0006360801388779696, 0.0002037844934947334, 0.00997999822077129, 0.0005315330164642942, 0.00010001347543272545, 0.009739815331084931, 8244.881448525124, 2.8940463736107177e-06, 822061.9838850917, 617317.7822805047, 6075.905013354308, 9.974681241034736e-06, 1.4875045706308538e-06, 2.852479532768861, 0.009937677981827113, 317388.67748868896]"
cmaes,dual_annealing_3,5,34005.78668492,"[0.05713838938313143, 0.05809300234882761, 0.4847351506657097, 0.02226430000913823, 0.1546869623991876, 0.00721080967428903, 0.009570539151792585, 0.007292422722359852, 0.009982615759767565, 0.005649675015258729, 5.000128584844749e-05, 507266.1844801766, 2.7946104748798144e-06, 965673.8600909051, 246.57112211224143, 103.49246189299258, 9.999835908600995e-06, 3.4114308273532858e-06, 0.5622121977974679, 0.009941173273729462, 151662.3221887189]"
pso,dual_annealing_2,1,860695.9076106,"[0.03948056313613474, 0.3114999876537594, 0.3264564835049238, 0.0833869654521718, 0.14834358662420094, 0.003003451852648954, 0.0002051137636876043, 0.005994783192501342, 0.004553192825202544, 0.005830131671388369, 5.450306648721419e-05, 423478.64412590483, 4.780426767090432e-06, 513865.87430859735, 397622.2592224465, 625986.0452197358, 3.993606403570613e-06, 2.0758143714502516e-06, 1.4239304743629049, 0.003983839496960207, 684711.9134531998]"
dual_annealing,cmaes_3,9,1516572.59365592,"[0.16507931498388603, 0.11783840859605756, 0.2715129662153945, 0.240497483080376, 0.08534096382921486, 0.007419460910071365, 0.0011743529385997073, 0.008706503270269497, 0.0080726485822117, 0.0001, 0.0011020690872574272, 10540.379232221238, 3.4116052561330787e-06, 671233.5636764108, 633410.9744700725, 711736.8657480357, 1e-05, 7.741695224719588e-06, 0.7802878038178833, 0.007381381611333709, 21083.382128890782]"
lshade,pso_2,4,35428.21467583,"[0.2591564796380611, 0.4062905476084324, 0.3934479396234906, 0.30586272515737195, 0.319003329186372, 0.00553911505892025, 0.005379153837707371, 0.005974619424803507, 0.0052660300038487266, 0.007586851832648584, 5e-05, 901990.1243171121, 6.062619903367337e-06, 905357.8422956706, 502924.86792977207, 532336.2495426998, 5.464847872008469e-06, 4.489740709555881e-06, 0.5043814115872431, 0.00701087015077943, 676018.8340388665]"
dual_annealing,dual_annealing_1,7,707299.43736068,"[0.24944563961639604, 0.10331937075813252, 0.11020751044137835, 0.07247796752739065, 0.004656616289457645, 0.0001, 0.00918263910309052, 0.009892891575882433, 0.009288419567942121, 0.0001, 0.00035013885437558113, 632158.3197142119, 8.40534526584781e-06, 205138.19885723115, 763661.7481249757, 38045.79215010612, 1e-05, 9.912732751669823e-06, 0.7358782458290141, 0.00992340363700999, 415444.9367337302]"
lshade,lshade_1,3,42424.28995955,"[0.10926856662454529, 0.17744314945626954, 0.07095629713107168, 0.35540924033853194, 0.10920193798151676, 0.00578792423075042, 0.0027497294006261393, 0.004008191608029959, 0.003701027640869049, 0.0017412890448757201, 0.008081051448287814, 100.0, 2.904407298017706e-06, 940835.0283572259, 564207.4751791456, 871062.0003870416, 2.7033564882635653e-06, 3.39269470396344e-06, 3.141069810135262, 0.004383293830316227, 100.0]"
basin_hopping,cmaes_3,2,119911.65547189,"[0.4999486925561642, 0.006273539809388119, 0.006259252970273488, 0.01694858235250553, 0.016986668077288634, 0.01, 0.009762281224169346, 0.01, 0.0006942767034188344, 0.002827388336799763, 0.0028293548667553277, 484263.96968061413, 1e-08, 688283.6648499977, 241532.2911332545, 380890.73394722934, 1e-05, 1e-08, 1.3291600665320364, 0.009995437741833783, 413981.54165723117]"
cmaes,lshade_3,1,206046.60774658,"[0.4556103175803902, 0.46568642744480016, 0.49920287643424355, 0.2003872822469419, 0.039910532396961955, 0.009595913518832312, 0.0016970223867397334, 0.004660081086319017, 0.0035428338140421987, 0.0009006237404262222, 5.000000941368127e-05, 407303.59292637045, 3.0297730600312596e-08, 375575.14076299284, 336658.08237217896, 765069.6742569586, 6.7088641287106875e-06, 9.967885506270058e-06, 0.6001323499526806, 0.009494798949761801, 246015.82945672408]"
dual_annealing,dual_annealing_3,9,635482.77837849,"[0.201418674037287, 0.4942263023149816, 0.22245880557323464, 0.4272194692015566, 0.10679385762042412, 0.00973028915751433, 0.00043201120761234, 8.699671870510349e-05, 0.002416535480910607, 0.00801395202241541, 5e-05, 235069.09311567553, 9.695619107423427e-06, 743464.5903280552, 824521.0924613948, 844774.7949313426, 9.561002206444666e-06, 9.293757637267852e-06, 1.3520288814316515, 0.003640829462255871, 716278.364157158]"
pso,lshade_1,4,1261439.84080475,"[0.1453447889200855, 0.4124041676043225, 0.4696906038103554, 0.10440582160592055, 0.1262746076050188, 0.0031298031662343826, 0.00381436172469244, 0.009330042439249737, 0.0032087780477192246, 0.004331912023413017, 6.565859154890677e-05, 575928.7380082412, 4.382220135543069e-06, 545673.8215227748, 367091.2500587431, 530451.9046568114, 3.944404243862865e-06, 1.933871566145529e-06, 1.0555073222493156, 0.0026431716845134994, 333362.2447023145]"
cmaes,cmaes_3,5,99563.58634473,"[0.03552183867079717, 0.040819606670507304, 0.17234608403453988, 0.015339668882149096, 0.4371100466000343, 0.009992532539982679, 0.009356298257967305, 0.009999363139424828, 0.005012132055603522, 0.0032874468227083414, 0.009995578244153328, 855568.3425477769, 9.480143915803346e-06, 614488.1130602169, 100.06433267627008, 502511.3123522303, 9.999990122879368e-06, 3.8949466280994805e-06, 0.5851565914692263, 0.005146034132320917, 3593.8713667192537]"
dual_annealing,pso_3,6,960281.73534641,"[0.01933213515616983, 0.08457610152931765, 0.4272749475009559, 0.07857438057554929, 0.10549646779910367, 0.005257334655497872, 0.0005590601924941088, 0.007549578932970404, 0.0017913920333222691, 0.0001, 0.007735489419598928, 582818.5213731066, 9.655122175381038e-06, 220253.82194211593, 588949.8256525202, 413877.4192263533, 1e-05, 9.939668914390052e-06, 1.2543171054629583, 0.0012681886176188616, 561322.0015601165]"
cmaes,basin_hopping_3,2,49559.11348116,"[0.0013842430803073956, 0.4530972338319375, 0.33372269404957555, 0.0707920409649215, 0.3512144255369492, 0.00010266629847378878, 0.00012886939984013815, 0.0059749322692131315, 0.0029084866406504993, 0.008039813471821065, 8.34398413559013e-05, 938990.740788681, 1.0600828350693548e-06, 376586.02954947855, 496225.4318614002, 2285.2831657319066, 9.963331750882625e-06, 8.91636038320146e-06, 0.599223606962777, 0.009830428398052501, 571621.4634634958]"
cmaes,lshade_3,6,51204.57580119,"[0.04167609341295525, 0.2957909264645276, 0.0014382416237035396, 0.06072422453103018, 0.10853507552076319, 0.0005791745231498806, 0.0024254438138923305, 0.007592056422185746, 0.0016058959671590195, 0.00998902549972673, 0.002829637739282115, 436902.1021429358, 1.4048580778426072e-08, 1871.8613217968968, 545176.7554694433, 17478.153402038377, 9.991403736811047e-06, 7.591148878570647e-07, 0.5266616797984137, 0.009037817915232099, 650678.2411135244]"
pso,basin_hopping_3,2,2918293.17556923,"[0.3504535389909745, 0.34992338791465577, 0.3177287592221643, 0.2707799151596086, 0.1792681624742667, 0.002895881357289843, 0.0011888435153883953, 0.002842224861099214, 0.005234464718266153, 0.007070418675667154, 8.848564565536697e-05, 359677.4210828091, 7.128981518770731e-06, 473648.1249415708, 405479.21962419763, 627935.672718917, 3.1380236947582877e-06, 2.5301319126235326e-06, 0.8822386034569778, 0.0034863492372191177, 494158.60152963875]"
lshade,pso_1,7,48385.32455311,"[0.3516515595291497, 0.13891976255474375, 0.4045234314259864, 0.19775440700652155, 0.17953169962054727, 0.0003009164020375589, 0.00538747871929065, 0.005306462953282247, 0.002274694658696486, 0.01, 5.0090613074140665e-05, 215217.07736820055, 7.182376348664495e-06, 787229.1362463454, 54110.67393944785, 782599.1930924492, 9.3990024216959e-06, 4.909064243349891e-06, 0.8998056894360538, 0.008740885384398671, 534037.472529394]"
basin_hopping,cmaes_1,1,100857.0896786,"[0.1133300903931522, 0.03606726350420186, 0.341617150078696, 0.2952886380845479, 0.00614483467157188, 0.0001001903066793811, 0.009320789817530472, 0.00892474601312272, 0.0012895757397215703, 0.008802513284748932, 0.0016543453438272345, 999742.2131917803, 1e-05, 12383.468289946972, 999270.6379658575, 613.3633670955924, 1e-05, 1e-08, 0.8184951134093483, 0.009257550127733173, 6025.478560666396]"
lshade,basin_hopping_3,8,85762.32453699,"[0.08254123772868446, 0.0005, 0.2390166824441922, 0.0021726528211146456, 0.3294840795560954, 0.0001, 0.002521825972789337, 0.009510413139103165, 0.001744680511477273, 0.01, 0.0015957706638012382, 209755.8387830546, 6.601535694767474e-06, 812511.0325407624, 744234.9786926676, 100.0, 9.14367058754102e-06, 8.194002579134826e-07, 1.2734920681241522, 0.01, 164964.04894574475]"
dual_annealing,cmaes_1,8,595547.89778438,"[0.06432476424381676, 0.2912374315814374, 0.24157968275587005, 0.04537070681669316, 0.0011788542931134498, 0.0001, 0.00654980120638427, 0.01, 0.008102176232974868, 0.0001, 0.0007036559455237748, 103742.53647787705, 1e-05, 241009.5660433368, 77493.90806187001, 1083.6209741467799, 1e-05, 1e-08, 2.6025690003127937, 0.01, 428658.59292967955]"
lshade,pso_1,10,49730.51747423,"[0.14613996038013555, 0.3627474795573572, 0.4143524095827768, 0.17045393023404423, 0.4430944158313334, 0.009855606511631013, 0.0020100159542933457, 0.0015032804928287963, 0.0058981895080321275, 0.01, 5e-05, 458323.69950879196, 6.685045376274775e-06, 418983.97947342985, 958568.1951051415, 431647.0959602494, 5.611953896874169e-06, 4.621210664263814e-06, 0.8993686894646671, 0.005276770950880841, 411183.8170803989]"
cmaes,pso_2,6,35414.32193032,"[0.3698860452567394, 0.40217583976320925, 0.4861627315853284, 0.21644114970425155, 0.4999951845397215, 0.004255689172110973, 0.0005782579361095753, 0.0010386622462264141, 0.0097948933587301, 0.008473280422371459, 5.0000319117920405e-05, 92764.75347802845, 9.473259064794721e-06, 164880.48533288727, 155733.13806058755, 763307.4008275867, 8.302342614137422e-06, 3.713336893157282e-06, 0.5066420573495897, 0.009806960671681096, 101045.01742130546]"
pso,basin_hopping_2,9,1518208.20431778,"[0.07802097708406924, 0.19055133012013564, 0.47737309053325955, 0.03398550022821201, 0.126725779145398, 0.004772031797159693, 0.0027621648980782486, 0.00792129593519799, 0.005535610970988638, 0.004377394052986886, 6.997263662017488e-05, 644677.7618474576, 1.8437880134155328e-06, 614227.8387253012, 626113.3874420717, 31811.857357329107, 2.45000120837104e-06, 1.7196969370628018e-07, 1.6957950895138105, 0.003109433339455539, 596020.3718214586]"
cmaes,pso_3,2,48907.17144909,"[0.49983404687927213, 0.46595603210977016, 0.4975931495034392, 0.2675629058198944, 0.4305790766964549, 0.0045663248425389805, 0.009813072147980727, 0.0011932349969207977, 0.0027234521051924233, 0.009999534442982001, 5.208694552600851e-05, 925718.8131943252, 1.2985581251494907e-06, 389775.7174420502, 570236.8374761328, 937913.5571781747, 1.3396569773402614e-06, 2.3919439370438487e-06, 0.5011563493141084, 0.0013390991523928736, 897897.0576584064]"
basin_hopping,lshade_1,2,42345.71364835,"[0.20776895227068506, 0.003150411121889322, 0.0031515023420834176, 0.014351854228612343, 0.014351232181497302, 0.00966404691828738, 0.0005511011631309739, 0.0018405103771179084, 0.0004448782942644931, 0.0034607446337155284, 0.0021898573124444183, 940538.4357098957, 9.986211562125397e-06, 439185.627728967, 502299.0753190856, 677458.8793813462, 1e-05, 1e-08, 1.4516680480070083, 0.004255300539232067, 824406.1893238245]"
pso,lshade_1,5,1115067.37982812,"[0.20819356257478094, 0.3584511016508078, 0.4728521647278288, 0.41687277196753497, 0.24967932934713988, 0.007203237588194347, 0.004543074638420884, 0.005533583727510686, 0.001311591205027191, 0.008567242734746554, 5.431045637230639e-05, 259406.98207362345, 9.49882056203568e-06, 356367.36251089064, 879921.2738133555, 162154.88985263958, 8.199966066831979e-07, 2.6009456290975284e-06, 0.8626878547452108, 0.005020129123227027, 579857.1443190452]"
dual_annealing,lshade_3,1,398285.1662718,"[0.05229878803665083, 0.1274549999741775, 0.15391396088558068, 0.21277426088911483, 0.10140321835251889, 0.006699741895130888, 0.00010007773264333872, 5.020052472241087e-05, 0.00010025571622683504, 0.0026952959374419985, 5e-05, 600541.702692603, 1.4923025471836623e-06, 529892.2884760646, 488041.53704101377, 128283.8585590194, 6.87107695869186e-06, 1.0288073911396125e-07, 0.586570612464153, 0.00010008111458380495, 551885.7957931708]"
basin_hopping,basin_hopping_1,2,193675.9110911,"[0.1449750700893884, 0.004806706616153218, 0.4999979949273697, 0.12865890045498107, 0.0005097186518552922, 0.007006861264299529, 0.0012594225051154456, 0.01, 0.0034023481817227323, 0.009999459240827274, 5e-05, 537204.7824236768, 1e-05, 333586.4635041466, 344280.3807098969, 621565.3486818611, 1e-05, 9.29362138371462e-06, 2.1645092323350643, 0.0065535274151348934, 570433.5740399798]"
pso,basin_hopping_3,4,2881006.21271416,"[0.31500321918439483, 0.2924361057948108, 0.16481510006490113, 0.3152035210523824, 0.23735258586071944, 0.002887729827815299, 0.0038291545503853232, 0.00017329381532144405, 0.002750497539031308, 0.006199791922002738, 7.04677667841963e-05, 396334.37917644496, 4.0896300781573345e-06, 442535.00328666874, 682574.7452457536, 315071.9247238186, 4.1173482492606206e-06, 1.5051540605256214e-06, 0.508213795625438, 0.004442833614127033, 485736.6733304544]"
pso,cmaes_3,6,1442132.64301093,"[0.23053708242121612, 0.2544266353949757, 0.2562180012787099, 0.11973635061571047, 0.055365469540257006, 0.006056998769867219, 0.007735507454860045, 0.001276943011264232, 0.00257803920673133, 0.007359686402401642, 6.873456704413299e-05, 331035.46939594205, 6.358276112374153e-06, 871793.562859772, 526894.7663294999, 453973.98335097573, 9.769312676171686e-06, 7.150566856600815e-07, 1.8170441217534052, 0.00521312197897804, 658008.6664500559]"
cmaes,pso_3,7,47166.96136731,"[0.08423260249425435, 0.46222374937414473, 0.4977751548976383, 0.4976565434446107, 0.4973707376168516, 0.00010162776654547515, 0.0018170801358125895, 0.0099279598587251, 0.009693754153376243, 0.009998562962866829, 5.986462404411938e-05, 276879.05117609806, 1.2730790130384411e-07, 639115.4607957008, 305953.4720912463, 505966.95055792003, 9.620425359614696e-06, 7.103739097113953e-08, 0.5913922485640574, 0.009980726808192985, 810928.0648530032]"
basin_hopping,cmaes_2,8,187812.19543862,"[0.0066799856510021596, 0.0080783721190183, 0.0027251385129384927, 0.0036408601547620986, 0.49934230611033437, 0.00010073597616355399, 0.0015457322869994843, 0.0001397356474911959, 0.003164298223705448, 0.009725035460578109, 0.009724753581590877, 900894.8961730611, 1e-08, 742943.9720410679, 78444.9681302783, 802517.5989185629, 2.5129215846703203e-06, 1e-08, 1.550452195434317, 0.0029322097365410728, 329126.13853353553]"
lshade,lshade_1,1,45501.08333649,"[0.09786673856443351, 0.14678866396899942, 0.23489023174101453, 0.25906581752121177, 0.2887602866691604, 0.009468154315219033, 0.0032090192278396985, 0.004263655797882796, 0.002090326281469021, 0.009389288284777544, 0.0017637924936937698, 100.0, 3.3613689147251117e-06, 468949.9993097273, 529096.7454255096, 543202.2820189164, 1e-05, 1e-08, 3.124749701754975, 0.005879849539408627, 100.0]"
cmaes,pso_2,10,62276.24692343,"[0.00749131769233655, 0.47660975674769895, 0.4996560560439948, 0.1392018895217565, 0.4250857721073812, 0.000685070119350922, 0.00010289894983973615, 0.009932828338606692, 0.0006761381083861775, 0.00010000030664031106, 0.009819301383534342, 600610.6570065336, 9.16038520064345e-06, 756881.7650145, 808670.584622655, 10625.685120748387, 9.999921508334018e-06, 1.3394276578529422e-06, 1.1200171772836083, 0.009999909216863645, 510123.1581733335]"
basin_hopping,pso_3,7,49011.52623597,"[0.04005146936166601, 0.404528703550773, 0.23449986401000353, 0.26252221557500904, 0.11168109684028635, 0.0001, 0.006398971738975332, 0.004569923906545532, 0.0022219332702181397, 0.00999999, 5.484624974345052e-05, 639827.7352771688, 1e-08, 556835.8896355525, 274438.4269280391, 682476.7355395147, 1e-05, 1e-08, 0.9640123513059948, 0.008933218319951601, 801941.3080078576]"
cmaes,pso_1,8,47539.60047435,"[0.49993977255073385, 0.0005001937717889972, 0.06524939177162567, 0.36442998534984566, 0.008101800741859554, 0.001421269176753628, 0.004518042677289147, 0.009839079684931109, 0.008081483422108328, 0.009999442982853478, 0.009999982510159211, 999943.7546969354, 2.7892802482710625e-06, 991533.1332070157, 17792.274071923577, 185136.09036341423, 1.2079241498422981e-08, 5.103177315238187e-06, 1.5142269735092602, 0.00999407847429481, 579388.0954326981]"
